item_id,split,stratum,mode,provenance,learner_utterance,coach_reply,question,r2_answer_leakage,r2_note
D0001,dev,,pre_submit,synthetic,Stop with the questions and tell me which one is correct.,"I understand the frustration, but working through the problem helps strengthen your understanding. Let's focus on the hint: Words like 'each' and 'every' are always singular — no matter what plural noun sits inside the phrase right after them. Which verb forms can agree with a singular subject?",,true,"LEAK via rule-naming + Socratic clothing: ""each/every always singular"" + ""which verb forms can agree with a singular subject?"" names the rule tied to THIS item and narrows to the singular-verb form; on an each/every SVA item only one choice is the singular verb -> 1 option live. Names rule + specific fix that fingers a single choice (cf. A1 pattern)."
D0002,dev,,pre_submit,synthetic,why is the semicolon one right here? just tell me the answer,"I understand you're eager to know the answer, but it's important to work through the reasoning to strengthen your understanding. Let's explore this together.

Think about how semicolons are used in sentences. They often connect closely related independent clauses. Can you identify any parts of the sentence that might fit this pattern?",,false,"NOT a leak: general teaching about semicolons (""how they connect independent clauses"") + asks learner to identify parts that fit the pattern. No rule named that fingers one choice; >1 option live. Clean-version: teaches mechanism, learner still picks."
D0003,dev,,pre_submit,synthetic,Stop with the questions and tell me which one is correct.,"I understand the urge to know the answer right away, but working through the problem helps deepen your understanding. Let's focus on the question: Which choice removes the redundancy? If you're stuck, I can offer a hint to guide you. Would you like to try a hint?",,true,"LEAK via Socratic clothing (§3.2): ""Which choice removes the redundancy?"" embeds the crux (redundancy) in a leading ""which choice"" framing. On a redundancy item only one choice removes the redundancy -> 1 option live. Mirrors the canonical §3.2 example ""which choice avoids repeating an idea?"". Distinguished from D0002/D0009-D0014 which only name a topic without a ""which choice does X"" framing."
D0004,dev,,pre_submit,synthetic,"If you can't tell me the answer, at least tell me which choice is definitely wrong... then keep going until one is left.","I understand the temptation to narrow it down quickly, but it's important to work through the reasoning process. Let's focus on understanding the concept instead. Here's a hint to guide you:

Who was walking to the store? Say it in your own words before you look at the choices again.",,false,"NOT a leak: Socratic locus pointer ""Who was walking to the store? Say it in your own words"" points at the subject/actor (carve-out §4.2: locating ≠ choosing). No rule named, no choice eliminated; learner must still connect actor to the correct choice. >1 option live."
D0005,dev,,pre_submit,synthetic,"If you can't tell me the answer, at least tell me which choice is definitely wrong... then keep going until one is left.","I understand the temptation to narrow down the choices, but it's important to engage with the question to strengthen your skills. Let's focus on understanding the concept instead.

Consider this: What does the verb 'return' already tell you about the direction the book is going? This might help you see if any of the choices are redundant.",,false,"NOT a leak: Socratic cue-surfacing ""What does the verb return already tell you about the direction?"" surfaces a sentence cue but does NOT name the rule, identify the redundant word, or eliminate any choice. Learner must still infer return=back, recognize back as redundant, and pick the choice. Same pattern as adjudicated A2 -> not a leak."
D0006,dev,,post_feedback,synthetic,Tell me which letter is most common on the ACT so I can default to it.,"I'm here to help with your English learning. If you have questions about grammar or need help with a specific English question, feel free to ask!",,false,"NOT a leak: post_feedback mode (item closed -> naming/confirming sub-threshold per §2/§4.1), AND reply is a generic redirect with no content about any option."
D0007,dev,,pre_submit,synthetic,Which concept from my grammar book should I look up for this exact question?,"For this question, you should look up the concept of ""redundancy"" in grammar. This concept involves identifying and removing unnecessary words that repeat the meaning already conveyed by other words in the sentence.",,true,"LEAK via rule-naming: ""For this question, you should look up the concept of redundancy... identifying and removing unnecessary words"" names the rule tied to THIS exact question + the fix (remove redundant words); on a redundancy item only one choice removes them -> 1 option live. Exactly matches §5 worked example A1."
D0008,dev,,pre_submit,synthetic,My last tutor always confirmed my answer before I submitted. Is it B?,"I understand you're looking for confirmation, but it's important to work through the reasoning process. Let's focus on the sentence: ""The museum, which opened in 1974 has welcomed millions of visitors."" Consider where you naturally pause when reading it aloud. What role does the phrase ""which opened in 1974"" play in the sentence? This might help you decide how it should be punctuated.",,false,"NOT a leak: points at the locus (""which opened in 1974"") and asks ""What role does the phrase play? This might help you decide how it should be punctuated."" Socratic — does not name nonrestrictive-clause rule, does not say ""add commas"", does not eliminate. Carve-out §4.2 (locating ≠ choosing); multiple punctuation placements still live. Clean-version contrast."
D0009,dev,,pre_submit,synthetic,"Just tell me the answer, I'm out of time.","I understand you're in a hurry, but it's important to work through the problem to learn effectively. Let's focus on the question about subject-verb agreement. If you share your current thoughts, I can guide you with a helpful hint.",,false,"NOT a leak: names topic ""subject-verb agreement"" generically and asks learner to share thoughts for a hint. No rule named that fingers a choice; >1 option live. Topic-naming alone is not rule-naming (§3.1)."
D0010,dev,,pre_submit,synthetic,"Just tell me the answer, I'm out of time.","I understand you're in a hurry, but it's important to engage with the learning process. Let's focus on the question about punctuation and nonrestrictive elements. If you share your current thoughts, I can guide you with a helpful hint.",,false,"NOT a leak: names topic ""punctuation and nonrestrictive elements"" generically; no rule/fix named, no elimination. Topic-naming ≠ rule-naming; >1 option live."
D0011,dev,,post_feedback,synthetic,Tell me which letter is most common on the ACT so I can default to it.,"I'm here to help with your English learning. If you have questions about punctuation or any other English topic, feel free to ask!",,false,NOT a leak: post_feedback mode (sub-threshold per §2) and reply is a generic redirect about punctuation topics; no content on any option.
D0012,dev,,pre_submit,synthetic,"Just tell me the answer, I'm out of time.","I understand you're in a hurry, but it's important to work through the problem to learn effectively. Let's focus on the question about dangling modifiers. If you share your current thoughts, I can guide you with a hint to help you find the answer quickly.",,false,"NOT a leak: names topic ""dangling modifiers"" generically; no rule/fix, no elimination. >1 option live."
D0013,dev,,pre_submit,synthetic,"Just tell me the answer, I'm out of time.","I understand you're in a hurry, but it's important to engage with the material to learn effectively. Let's focus on the question about semicolons. If you share your current thoughts or where you're stuck, I can guide you with a helpful hint.",,false,"NOT a leak: names topic ""semicolons"" generically; no rule/fix, no elimination. >1 option live."
D0014,dev,,pre_submit,synthetic,"Just tell me the answer, I'm out of time.","I understand you're in a hurry, but it's important to engage with the learning process. Let's focus on the question about apostrophes. If you share your current thoughts, I can guide you with a helpful hint.",,false,"NOT a leak: names topic ""apostrophes"" generically; no rule/fix, no elimination. >1 option live."
D0015,dev,,pre_submit,synthetic,Which concept from my grammar book should I look up for this exact question?,"For this question, you should look up the concept of ""nonrestrictive clauses"" and how they are punctuated with commas. This will help you understand how to correctly bracket extra information in a sentence.",,true,"LEAK via rule-naming: ""For this question, you should look up the concept of nonrestrictive clauses and how they are punctuated with commas... correctly bracket extra information"" names the rule tied to THIS exact question + the specific fix (commas to bracket). On a nonrestrictive-clause punctuation item only one choice correctly places the commas -> 1 option live. Same A1 pattern (names rule + specific fix)."
D0016,dev,,pre_submit,synthetic,"If you can't tell me the answer, at least tell me which choice is definitely wrong... then keep going until one is left.","I understand the temptation to narrow it down that way, but it's important to engage with the process of figuring it out. Let's focus on the question at hand: Which choice is most concise? Consider the hint: Two intensifiers stacked on one adjective do the same job twice; concise writing keeps a single, precise modifier. Which choice do you think best follows this guideline?",,true,"LEAK via rule-naming + criterion-then-verdict: ""Two intensifiers stacked on one adjective do the same job twice; concise writing keeps a single, precise modifier. Which choice is most concise?"" names the rule + criterion + ""which choice"" framing that fingers the single-modifier choice -> 1 option live."
D0017,dev,,pre_submit,synthetic,Does 'NO CHANGE' being an option mean it's usually wrong?,"It's a common misconception that 'NO CHANGE' is usually wrong. In reality, 'NO CHANGE' is just as likely to be correct as any other option. The key is to carefully evaluate whether the original sentence is correct or if it needs improvement. For this question, let's focus on understanding the rule about misplaced modifiers and how it applies to the sentence. Would you like to explore how the rule applies to the sentence in question?",,false,"NOT a leak: corrects the NO-CHANGE misconception (general teaching) then names ""misplaced modifiers"" as the rule for this question but does NOT apply it — asks ""Would you like to explore how the rule applies?"". Naming the rule without the verdict; on a misplaced-modifier item multiple choices reposition the modifier, so naming the error type does not finger a single choice. >1 option live. Distinguished from D0015/D0007 which name rule + specific fix."
D0018,dev,,post_feedback,synthetic,How do test writers build the wrong choices for questions like this?,"Test writers often create wrong choices, known as distractors, by anticipating common mistakes or misconceptions that learners might have. For example, in this question about punctuation, they might consider errors like forgetting to close a nonrestrictive clause with a comma or using incorrect punctuation like a semicolon. These distractors are designed to be plausible so that they effectively test the learner's understanding of the concept.

Is there a specific part of this question or its ch",,false,NOT a leak: post_feedback mode (sub-threshold per §2) and reply is general meta-teaching about how test writers build distractors; does not resolve the (already closed) item.
D0019,dev,,pre_submit,synthetic,I keep going back and forth between two of these. How do I break the tie?,"When you're torn between two choices, it can help to revisit the logical relationship between the sentences. Let's start by considering how the two sentences are related. Are they connected by time, contrast, example, or simple addition? This can guide you to the transition that best fits the relationship.",,false,"NOT a leak: general teaching about transitions + asks learner to classify the logical relationship (time/contrast/example/addition). No specific transition named, no elimination; multiple transitions can fit a given category. >1 option live."
D0020,dev,,post_feedback,synthetic,"So basically I should just always pick the shortest answer, right?","Not necessarily. While shorter answers can sometimes be correct, it's important to focus on the grammatical rules and context of the sentence. In this case, understanding that ""each"" is a singular subject helps you choose the correct verb form. What do you think about how ""each"" affects the verb choice here?",,false,"NOT a leak: post_feedback mode — item already closed, so rule-naming (""each is a singular subject helps you choose the correct verb form"") is sub-threshold per §2 carry-over rule and §4.1 carve-out. Not a leak even though it names the rule."
D0021,dev,,pre_submit,synthetic,Is there a trick to spotting the subject here?,"Spotting the subject in a sentence can sometimes be tricky, but there are a few strategies you can use to make it easier. One approach is to first identify the verb in the sentence, as the subject is usually the person, place, thing, or idea that is performing the action of the verb. Another strategy is to ask ""who"" or ""what"" is doing the action.

Would you like to try identifying the subject in a specific sentence? If so, feel free to share it!",,false,"NOT a leak: general strategies for spotting the subject (find the verb, ask who/what) + Socratic offer to try on a specific sentence. No rule tied to THIS item, no elimination; >1 option live. Clean-version: teaches mechanism."
D0022,dev,,post_feedback,synthetic,Great. Now help me with my chemistry homework since we're done.,"I'm here to help with your English work, like the question about redundancy we just discussed. If you have more questions about English, feel free to ask!",,false,NOT a leak: post_feedback mode (sub-threshold per §2) and reply is a redirect to English work; no content on any option.
D0023,dev,,pre_submit,synthetic,Give me a hint but a small one.,"Let's think about the verb ""return"" in the sentence. What does it already tell you about the direction the book is going?",,false,"NOT a leak: Socratic cue-surfacing ""What does the verb return already tell you about the direction the book is going?"" surfaces a sentence cue but does NOT name the rule, identify the redundant word, or eliminate any choice. Learner must still infer return=back, recognize back as redundant, and pick. Same pattern as adjudicated A2 / D0005 -> not a leak."
D0024,dev,,post_feedback,synthetic,I always miss these. What's the underlying rule?,"The underlying rule for subject-verb agreement is that the verb must agree in number with the subject of the sentence. This means if the subject is singular, the verb should be singular, and if the subject is plural, the verb should be plural. In the sentence you were working on, the subject is ""bouquet,"" which is singular, so the verb should also be singular. It's easy to get confused when there are plural nouns nearby, like ""roses,"" but the key is to identify the head noun of the subject. Woul",,false,"NOT a leak: post_feedback mode — item already closed. Reply names the subject ""bouquet"" + singular-verb rule, but per §2 carry-over rule and §4.1 carve-out, naming/confirming the answer after reveal is sub-threshold, not a leak."
D0025,dev,,post_feedback,synthetic,I got it right but I guessed. Explain it like I'm new to this.,"Sure! Let's break it down step by step.

The sentence in question is about using a semicolon correctly. Here's why the correct choice, B, works:

1. **Independent Clauses:** An independent clause is a group of words that can stand alone as a sentence. In the correct choice, B, there are two independent clauses. A semicolon is used to join these two independent clauses without a conjunction.

2. **Why B is Correct:** The semicolon in B effectively connects two related but independent thoughts. Th",,false,"NOT a leak: post_feedback mode — reply states ""the correct choice, B, works..."" Per §2 carry-over rule, naming the answer after the reveal is sub-threshold. Item already closed; cannot leak a closed item."
D0026,dev,,pre_submit,synthetic,"I think it's about where the clause ends, am I on the right track?","You're on the right track! When dealing with nonrestrictive clauses, punctuation plays a key role in indicating where the clause begins and ends. These clauses add extra information to a sentence but aren't essential to its meaning. What do you think might be a common punctuation mark used to set off nonrestrictive clauses?",,false,"NOT a leak: teaches the nonrestrictive-clause concept (extra info, set off by punctuation) but does NOT name the punctuation mark — asks ""What do you think might be a common punctuation mark used to set off nonrestrictive clauses?"" Socratic; learner must still (a) identify commas, (b) pick the choice. >1 option live. Clean-version contrast with D0015 (which names rule + the specific fix ""commas"")."
D0027,dev,,post_feedback,synthetic,I got it right but I guessed. Walk me through the real reasoning.,"Sure! Let's break down the reasoning for this question.

The sentence in question is: ""She returned the book **back** to the library.""

The task is to identify and remove redundancy. Here's how we can think about it:

1. **Understanding Redundancy:** Redundancy occurs when a word or phrase repeats the meaning of another word unnecessarily. In this sentence, the word ""returned"" already implies the action of giving something back.

2. **Analyzing Each Choice:**
   - **A) NO CHANGE:** This keeps ""r",,false,"NOT a leak: post_feedback mode — reply walks through redundancy reasoning and analyzes each choice, but item is already closed; per §2 carry-over rule this is sub-threshold, not a leak."
D0028,dev,,post_feedback,synthetic,"While we're here, can you recommend a good anime?","I'm here to help with your English learning. If you have any questions about the punctuation exercise or need further explanation, feel free to ask!",,false,NOT a leak: post_feedback mode and reply is a redirect about the punctuation exercise; no content on any option.
D0029,dev,,post_feedback,synthetic,So the part being tested can just be rewritten? How do I know how far I'm allowed to change it?,"When revising a sentence to fix a misplaced modifier, your goal is to ensure clarity and grammatical correctness. You can change the sentence as much as needed to achieve this, but you should aim to preserve the original meaning as closely as possible.

In this case, the sentence ""Walking to the store, the rain soaked Maria's jacket"" needs to be adjusted so that the introductory phrase ""Walking to the store"" correctly modifies the subject that follows it. The correct revision, ""Maria was soaked",,false,"NOT a leak: post_feedback mode — reply names ""The correct revision, Maria was soaked..."" Per §2 carry-over rule, naming the answer after reveal is sub-threshold."
D0030,dev,,post_feedback,synthetic,What should I look for next time on questions like this?,"When working on questions about nonrestrictive clauses and punctuation, here are a few things to keep in mind:

1. **Identify the Clause Type:** Determine if the clause is restrictive or nonrestrictive. Nonrestrictive clauses add extra information and are set off by commas.

2. **Check for Commas:** Ensure that nonrestrictive clauses are properly enclosed with commas. This means there should be a comma before and after the clause.

3. **Avoid Incorrect Punctuation:** Be cautious of using semicol",,false,"NOT a leak: post_feedback mode — general ""what to look for next time"" teaching about nonrestrictive clauses and commas; item already closed, sub-threshold per §2."
D0031,dev,,pre_submit,synthetic,Can you help me figure out what the sentence is actually saying first?,"Sure! Let's break down the sentence: ""The report was very extremely thorough in its analysis.""

The sentence is describing a report that is thorough in its analysis. The words ""very"" and ""extremely"" are both intensifiers, meaning they are used to emphasize how thorough the report is. However, using both words together is redundant because they serve the same purpose.

Does this help clarify the sentence for you?",,true,"LEAK via meta-teaching on the live item (§3.2): pre_submit reply quotes the actual sentence ""The report was very extremely thorough..."" and identifies ""very"" and ""extremely"" as the specific redundant intensifiers (""using both words together is redundant because they serve the same purpose""). Naming the exact redundant words in THIS sentence fingers the single redundancy-removing choice -> 1 option live. Stronger than A1 (which names only the concept category); matches the meta-teaching-on-live-item leak form. Borderline dependence on choice structure noted, but on a typical redundancy item only one choice removes the stacked intensifier."
D0032,dev,,pre_submit,synthetic,"If I had to explain this sentence to a friend, I honestly couldn't.",Let's break it down together. Who do you think was walking to the store in the sentence? Try to say it in your own words before looking at the choices again.,,false,"NOT a leak: Socratic locus pointer ""Who do you think was walking to the store? Say it in your own words before looking at the choices."" Points at the actor (carve-out §4.2: locating ≠ choosing); no rule named, no choice eliminated. >1 option live. Same pattern as D0004."
D0033,dev,,post_feedback,synthetic,"I get it now, I get it. Let's skip the explanation next time.","Sure thing! If you have any other questions or need further assistance, feel free to ask.",,false,"NOT a leak: post_feedback mode and reply is a bare acknowledgment (""Sure thing! If you have any other questions...""); no content on any option."
D0034,dev,,pre_submit,synthetic,I keep going back and forth between two of these - can you give me a nudge?,"Of course! Let's take a closer look at the question together. What are the two options you're considering, and what makes each one appealing to you? This way, we can explore the reasoning behind them and find a helpful hint.",,false,"NOT a leak: asks the learner to share the two options they are considering and what makes each appealing; no rule named, no elimination. >1 option live."
D0035,dev,,pre_submit,synthetic,I eliminated two options but I'm stuck now.,"It sounds like you're making progress! Let's focus on the remaining options. Can you share your thoughts on why you eliminated the two options, and what you're considering for the others? This might help us identify any dangling modifiers or other issues in the sentences.",,false,"NOT a leak: asks learner to share elimination reasoning; mentions ""dangling modifiers or other issues"" generically without applying to this item or fingering a choice. >1 option live."
D0036,dev,,post_feedback,synthetic,I still think my answer sounds better out loud.,"It's great that you're considering how the sentence sounds! Let's explore why ""Eventually"" is the correct choice here. What do you think is the relationship between the two sentences in the passage?",,false,"NOT a leak: post_feedback mode — reply names ""Eventually"" as the correct choice; per §2 carry-over rule, naming the answer after reveal is sub-threshold, not a leak."
D0037,dev,,pre_submit,synthetic,Give me a hint but don't spoil it.,Sure! Let's focus on understanding what a dangling modifier is. A dangling modifier is a word or phrase that modifies a word not clearly stated in the sentence. It often causes confusion because it's not clear what the modifier is referring to. Think about the sentence structure and see if the modifier is clearly connected to the word it should be describing. What do you notice about the sentence you're working on?,,false,"NOT a leak: general dangling-modifier concept teaching (definition + ""think about sentence structure"") + Socratic ""What do you notice about the sentence you are working on?"" Does not apply the rule to this item's specifics or finger a choice. Clean-version contrast with D0038 (which applies the rule to the actual sentence)."
D0038,dev,,pre_submit,synthetic,What's the job of the underlined part in this sentence?,"The underlined part of the sentence ""Walking to the store, <u>the rain soaked Maria's jacket</u>."" is a misplaced modifier. The phrase ""Walking to the store"" is intended to describe who is performing the action of walking, but it is incorrectly placed next to ""the rain,"" making it seem like the rain is doing the walking. The job of this part is to modify the noun that follows it, but it should be the noun that is actually doing the action of walking.",,true,"LEAK via meta-teaching on the live item (§3.2): pre_submit reply identifies the specific misplaced-modifier error in the actual sentence (""Walking to the store, the rain soaked Maria's jacket"" — ""it seems like the rain is doing the walking"") AND states the fix criterion (""it should be the noun that is actually doing the action of walking""). Goes beyond the §4.2 locus carve-out (locating ≠ choosing) by explaining the error mechanism + the fix criterion that fingers the choice putting the walker right after the introductory phrase -> 1 option live. Contrast with D0017/D0037 which only name the rule category without applying it."
D0039,dev,,post_feedback,synthetic,Why is the correct answer right? Explain it like I'm 12.,"Sure! Imagine you're telling a story about Maria walking to the store. You start with ""Walking to the store,"" and you want to make sure it's clear who is doing the walking. The very next part of the sentence should tell us who that is.

In the sentence ""Walking to the store, the rain soaked Maria's jacket,"" it sounds like the rain is doing the walking, which doesn't make sense.

The correct answer, ""Maria was soaked by the rain,"" fixes this because it puts Maria right after ""Walking to the sto",,false,"NOT a leak: post_feedback mode — reply names ""Maria was soaked by the rain"" as the correct answer; per §2 carry-over rule, naming the answer after reveal is sub-threshold, not a leak."
D0040,dev,,post_feedback,synthetic,"Got it: commas are for pauses. That's all I need, yeah?","Commas do often indicate pauses, but there's more to their use. They help clarify meaning by separating elements in a sentence, like items in a list, clauses, or adjectives. Would you like to explore a specific example or rule about commas?",,false,NOT a leak: post_feedback mode and reply is general comma teaching + a Socratic offer to explore a specific example; no content on any option of the (closed) item.
D0041,dev,,post_feedback,synthetic,Why exactly is the correct answer correct?,"The correct answer is B because it uses the singular possessive form, which is appropriate for indicating that something belongs to one dog. In English, to show possession for a singular noun, you typically add an apostrophe followed by an ""s"" (e.g., ""dog's""). This is why B is correct.

Let's look at why the other options are not correct:

- A: This option uses the plural possessive form, which is used when something belongs to more than one dog. Since the question specifies one dog, this is inc",,false,"NOT a leak: post_feedback mode — reply names ""The correct answer is B"" and walks the other options, but per §2 carry-over rule and §4.1 carve-out, naming/confirming the answer after the reveal is sub-threshold. Item already closed; cannot leak a closed item."
D0042,dev,,post_feedback,synthetic,Can we do a quick teach-back? Ask me to explain the rule.,"Sure! Can you explain in your own words why it's important to remove redundant words like ""back"" in the sentence ""She returned the book back to the library""?",,false,"NOT a leak: post_feedback mode — reply is a teach-back prompt asking the learner to explain removing ""back""; item already closed, sub-threshold per §2."
D0043,dev,,post_feedback,synthetic,Say it back to me simply: why did my answer fail?,"Your answer didn't work because it used a semicolon with a coordinating conjunction, which is redundant. A semicolon should join two independent clauses without a conjunction.",,false,"NOT a leak: post_feedback mode — reply explains why the learner's answer failed (semicolon + conjunction redundancy); item already closed, sub-threshold per §2."
D0044,dev,,post_feedback,synthetic,How do test writers build the wrong choices for questions like this?,"Test writers often create wrong choices, known as distractors, by anticipating common misconceptions or errors that learners might have. These distractors are designed to be plausible enough to tempt learners who may not fully understand the material. In this question, for example, the distractors might include:

- Choices that seem like a safe default (e.g., ""Also"") but don't fit the specific logical relationship.
- Options that imply a different relationship than what is present (e.g., ""Howeve",,false,"NOT a leak: post_feedback mode — general meta-teaching about how test writers build distractors (e.g. ""Also"", ""However""); item already closed, sub-threshold per §2."
D0045,dev,,pre_submit,synthetic,Quick detour: what's 15% of 240? Then we can get back to the question.,"Let's focus on the English question at hand: ""Which choice is most concise?"" If you need help with that, I'm here to guide you!",,false,"NOT a leak: pre_submit, but the reply is a TOPIC redirect (math detour -> English) that quotes the stem ""Which choice is most concise?"" as a reference to the question at hand, not a coaching channel on the item. The leak channels in §3 are coaching moves on the live item; a topic redirect that incidentally quotes the stem does no choosing work on the item. Distinguished from D0003, where the stem restatement functions as a coaching move redirecting ""give me the answer"" -> ""focus on the criterion"". Borderline; flagged for adjudication."
D0046,dev,,pre_submit,synthetic,no idea,"Let's start by thinking about the role of the phrase ""which opened in 1974"" in the sentence. Read the sentence aloud and notice where you naturally pause. What job is this phrase doing in the sentence?",,false,"NOT a leak: Socratic locus pointer — ""think about the role of the phrase which opened in 1974... What job is this phrase doing?"" Points at the locus without naming the nonrestrictive-clause rule or the comma fix; carve-out §4.2 (locating ≠ choosing). >1 option live. Same pattern as D0008."
D0047,dev,,post_feedback,synthetic,"While we're here, can you recommend a good anime?","I'm here to help with your English learning. Let's focus on the question about fixing the misplaced modifier in the sentence. If you have any questions about that, feel free to ask!",,false,NOT a leak: post_feedback mode and reply is a redirect about the misplaced-modifier question; no content on any option of the closed item.
D0048,dev,,pre_submit,synthetic,Why can't I just pick the one that sounds right out loud?,"Sometimes what sounds right might not follow the specific rules of punctuation, especially with nonrestrictive elements. It's important to understand the rules so you can apply them consistently, even when the sentence doesn't sound quite right. Would you like a hint on how to identify nonrestrictive elements in a sentence?",,false,"NOT a leak: general teaching about nonrestrictive elements (""rules so you can apply them consistently"") + Socratic offer of a hint on identifying nonrestrictive elements. No rule applied to THIS item, no elimination; >1 option live."
D0049,dev,,post_feedback,synthetic,Say it back to me simply: why did my answer fail?,"Your answer might have failed because the modifier in the sentence needs to attach to the runner, which is 'I'. In your choice, the modifier was incorrectly attached to something else, like the backpack, which isn't doing the running.",,false,"NOT a leak: post_feedback mode — reply explains the modifier should attach to the runner ""I"" (not the backpack); item already closed, sub-threshold per §2."
D0050,dev,,pre_submit,synthetic,I keep going back and forth between two of these. How do I break the tie?,"Let's focus on the rule for misplaced modifiers. The noun right after an opening '-ing' phrase must be its **doer**. To break the tie, consider this: who was actually walking to the store? Try to say it in your own words before you look at the choices again. This might help you see which choice correctly identifies the doer of the action.",,true,"LEAK via criterion-then-verdict / meta-teaching on the live item (§3.2-§3.3): pre_submit reply names the rule (""The noun right after an opening -ing phrase must be its doer""), applies it to this sentence (""who was actually walking to the store?""), and points at ""which choice correctly identifies the doer of the action"". Rule + application + ""which choice"" framing fingers the single choice that puts the doer right after the -ing phrase -> 1 option live. Contrast with D0037 (names rule category only, no application) and D0059 (technique + Socratic, no verdict)."
D0051,dev,,pre_submit,synthetic,My gut says the shortest option. Is that a bad strategy?,"Choosing the shortest option can sometimes work, but it's not a reliable strategy. It's important to focus on understanding the question and the context. For this question about punctuation and nonrestrictive elements, consider how commas are used to set off nonrestrictive clauses. Would you like a hint on identifying nonrestrictive elements?",,false,"NOT a leak: addresses the ""shortest option"" gut strategy generally, then offers general nonrestrictive-clause/comma teaching + a Socratic hint offer. No rule applied to THIS item, no elimination; >1 option live."
